miner_id,job_id,model_id,topic,if_contains_topic_in_s3_result,s3_url
0x6ece1fe72780f3a79a0cfdcfb5671f7d1e358b95,heurist-llm-261001077098,openhermes-mixtral-8x7b-gptq,Beckham,False,s3://validator-history/0x6ece1fe72780f3a79a0cfdcfb5671f7d1e358b95/openhermes-mixtral-8x7b-gptq/heurist-llm-261001077098-2024-05-13T02:10:42.807Z.json
0xad7101b5b5c63294523e3d95c5514a7ae11469cb,heurist-llm-752867624110,openhermes-mixtral-8x7b-gptq,Beckham,False,s3://validator-history/0xad7101b5b5c63294523e3d95c5514a7ae11469cb/openhermes-mixtral-8x7b-gptq/heurist-llm-752867624110-2024-05-13T02:13:01.043Z.json
0xf1d299afacd9ef62e1df1497fa79dc7352be0597,heurist-llm-996014034559,openhermes-mixtral-8x7b-gptq,Beckham,False,s3://validator-history/0xf1d299afacd9ef62e1df1497fa79dc7352be0597/openhermes-mixtral-8x7b-gptq/heurist-llm-996014034559-2024-05-13T02:13:32.457Z.json
0xe1ab873dd689938852bbc9ba6aa77eb31e9e19fb,heurist-llm-159705969762,openhermes-mixtral-8x7b-gptq,Beckham,False,s3://validator-history/0xe1ab873dd689938852bbc9ba6aa77eb31e9e19fb/openhermes-mixtral-8x7b-gptq/heurist-llm-159705969762-2024-05-13T02:16:36.779Z.json
0x7af4579cbe1135d7b92b88d5dfb5ffbb6091b6ba,heurist-llm-468116419020,openhermes-mixtral-8x7b-gptq,Beckham,False,s3://validator-history/0x7af4579cbe1135d7b92b88d5dfb5ffbb6091b6ba/openhermes-mixtral-8x7b-gptq/heurist-llm-468116419020-2024-05-13T02:16:36.881Z.json
0xb515b581567d3f1901f6c6aa5a68b89f6048f857,heurist-llm-715793045564,openhermes-mixtral-8x7b-gptq,Beckham,False,s3://validator-history/0xb515b581567d3f1901f6c6aa5a68b89f6048f857/openhermes-mixtral-8x7b-gptq/heurist-llm-715793045564-2024-05-13T02:18:16.132Z.json
0x936fb2c30152e6363b07287e73b27db76489d6c7,heurist-llm-203258618495,openhermes-mixtral-8x7b-gptq,Beckham,False,s3://validator-history/0x936fb2c30152e6363b07287e73b27db76489d6c7/openhermes-mixtral-8x7b-gptq/heurist-llm-203258618495-2024-05-13T02:19:05.519Z.json
0xc63c7c3c6b20f3d5dd2e4f5a2e2742cd06fc2ca4,heurist-llm-775310502021,openhermes-mixtral-8x7b-gptq,Beckham,False,s3://validator-history/0xc63c7c3c6b20f3d5dd2e4f5a2e2742cd06fc2ca4/openhermes-mixtral-8x7b-gptq/heurist-llm-775310502021-2024-05-13T02:20:10.964Z.json
0x7788c1df906a215eea28ac2ee870946e0ed3d994,heurist-llm-294074959412,openhermes-mixtral-8x7b-gptq,Beckham,False,s3://validator-history/0x7788c1df906a215eea28ac2ee870946e0ed3d994/openhermes-mixtral-8x7b-gptq/heurist-llm-294074959412-2024-05-13T02:20:47.054Z.json
0x90cb17be35ec991be9e10aed0120ff75849de69d,heurist-llm-190540521090,openhermes-mixtral-8x7b-gptq,Beckham,False,s3://validator-history/0x90cb17be35ec991be9e10aed0120ff75849de69d/openhermes-mixtral-8x7b-gptq/heurist-llm-190540521090-2024-05-13T02:27:12.964Z.json
0xaafe6ada80ad0d070e20e64ee1971e1d4ca9c8b8,heurist-llm-329448877021,openhermes-mixtral-8x7b-gptq,Beckham,False,s3://validator-history/0xaafe6ada80ad0d070e20e64ee1971e1d4ca9c8b8/openhermes-mixtral-8x7b-gptq/heurist-llm-329448877021-2024-05-13T02:25:47.867Z.json
0x3ed181e3536f8eb709f2bfdaeb393fe4d2224eef,heurist-llm-635775578385,openhermes-mixtral-8x7b-gptq,Beckham,False,s3://validator-history/0x3ed181e3536f8eb709f2bfdaeb393fe4d2224eef/openhermes-mixtral-8x7b-gptq/heurist-llm-635775578385-2024-05-13T02:28:49.739Z.json
0x4075187afc281ccb58016606ec4f3302ec734689,heurist-llm-346324380954,openhermes-mixtral-8x7b-gptq,Beckham,False,s3://validator-history/0x4075187afc281ccb58016606ec4f3302ec734689/openhermes-mixtral-8x7b-gptq/heurist-llm-346324380954-2024-05-13T02:33:06.761Z.json
0x4428c888431028f21907f440cbdca29fa17372a2,heurist-llm-186547113574,openhermes-mixtral-8x7b-gptq,Beckham,False,s3://validator-history/0x4428c888431028f21907f440cbdca29fa17372a2/openhermes-mixtral-8x7b-gptq/heurist-llm-186547113574-2024-05-13T02:28:31.731Z.json
0x71c092f3728eb3185e135b2ceba79f6a5a84ee07,heurist-llm-315664353150,openhermes-mixtral-8x7b-gptq,Beckham,False,s3://validator-history/0x71c092f3728eb3185e135b2ceba79f6a5a84ee07/openhermes-mixtral-8x7b-gptq/heurist-llm-315664353150-2024-05-13T02:31:07.478Z.json
0xf74c46ac1ed250a85a1aed4994d6e52686b440cf,heurist-llm-447364161074,openhermes-mixtral-8x7b-gptq,Beckham,False,s3://validator-history/0xf74c46ac1ed250a85a1aed4994d6e52686b440cf/openhermes-mixtral-8x7b-gptq/heurist-llm-447364161074-2024-05-13T02:32:25.233Z.json
0xc57c8ffec4e1c6615ee6eebc4a340d2df69902f0,heurist-llm-470706623226,openhermes-mixtral-8x7b-gptq,Beckham,False,s3://validator-history/0xc57c8ffec4e1c6615ee6eebc4a340d2df69902f0/openhermes-mixtral-8x7b-gptq/heurist-llm-470706623226-2024-05-13T02:36:04.106Z.json
0x92c8e32075bbd92a1001040bbe8a8e92105707dc,heurist-llm-366974398220,openhermes-mixtral-8x7b-gptq,Beckham,False,s3://validator-history/0x92c8e32075bbd92a1001040bbe8a8e92105707dc/openhermes-mixtral-8x7b-gptq/heurist-llm-366974398220-2024-05-13T02:33:41.904Z.json
0x82552cd6e905b6bf79c0c0029dd56d226a28434a,heurist-llm-456638613869,openhermes-mixtral-8x7b-gptq,Beckham,False,s3://validator-history/0x82552cd6e905b6bf79c0c0029dd56d226a28434a/openhermes-mixtral-8x7b-gptq/heurist-llm-456638613869-2024-05-13T02:35:17.048Z.json
0x8c447d141eec25ff4f46c8dac6a31ea7af1ff020,heurist-llm-770361695545,openhermes-mixtral-8x7b-gptq,Beckham,False,s3://validator-history/0x8c447d141eec25ff4f46c8dac6a31ea7af1ff020/openhermes-mixtral-8x7b-gptq/heurist-llm-770361695545-2024-05-13T02:37:28.894Z.json
